CustomerID,Gender,Location,Tenure_Months
10001,Male,Chicago,2
10002,Female,Houston,16
10003,Male,Miami,39
10004,Male,Chicago,13
10005,Male,New York,37
10006,Female,Houston,17
10007,Male,Miami,21
10008,Male,New York,44
10009,Male,New York,19
10010,Female,New York,7
10011,Male,New York,38
10012,Male,Chicago,8
10013,Male,Chicago,13
10014,Male,Chicago,37
10015,Female,Miami,2
10016,Male,Miami,41
10017,Female,Miami,11
10018,Female,Los Angeles,24
10019,Female,Miami,6
10020,Male,Chicago,26
10021,Female,Chicago,7
10022,Male,Los Angeles,57
10023,Female,Los Angeles,39
10024,Female,Miami,19
10025,Female,Houston,6
10026,Female,Los Angeles,43
10027,Female,New York,29
10028,Female,Chicago,43
10029,Female,New York,39
10030,Female,Chicago,2
10031,Male,Chicago,19
10032,Male,Los Angeles,4
10033,Female,Los Angeles,58
10034,Female,New York,6
10035,Female,Chicago,49
10036,Male,New York,57
10037,Female,Houston,37
10038,Male,New York,28
10039,Male,Miami,30
10040,Male,New York,7
10041,Male,Miami,9
10042,Male,Miami,25
10043,Female,Miami,33
10044,Female,Houston,1
10045,Female,New York,51
10046,Female,New York,6
10047,Female,Houston,18
10048,Male,Chicago,10
10049,Female,Los Angeles,28
10050,Female,New York,11
10051,Male,Los Angeles,33
10052,Female,Houston,1
10053,Male,Chicago,13
10054,Female,Chicago,37
10055,Male,Chicago,20
10056,Female,Houston,1
10057,Female,Miami,52
10058,Male,Miami,3
10059,Male,Los Angeles,18
10060,Male,Miami,41
10061,Male,Miami,14
10062,Male,Chicago,31
10063,Male,Chicago,27
10064,Male,Los Angeles,17
10065,Male,New York,55
10066,Female,Los Angeles,46
10067,Female,Los Angeles,29
10068,Male,Houston,36
10069,Female,Houston,37
10070,Female,Los Angeles,26
10071,Female,Los Angeles,53
10072,Female,Los Angeles,17
10073,Male,Miami,22
10074,Female,Houston,25
10075,Male,Los Angeles,2
10076,Female,Chicago,55
10077,Female,Chicago,22
10078,Female,Miami,5
10079,Male,Miami,4
10080,Female,New York,36
10081,Male,New York,6
10082,Female,New York,52
10083,Male,Miami,21
10084,Female,Miami,13
10085,Male,Miami,54
10086,Male,Chicago,37
10087,Female,Miami,55
10088,Male,Chicago,25
10089,Female,New York,26
10090,Female,New York,55
10091,Female,New York,39
10092,Female,Los Angeles,20
10093,Female,Los Angeles,33
10094,Female,Houston,14
10095,Female,Houston,56
10096,Female,Houston,36
10097,Female,Los Angeles,17
10098,Female,Los Angeles,21
10099,Female,Houston,46
10100,Male,Houston,16
10101,Male,Miami,46
10102,Female,Houston,16
10103,Female,Miami,56
10104,Female,Chicago,20
10105,Female,Los Angeles,29
10106,Female,Houston,28
10107,Female,Los Angeles,8
10108,Female,Los Angeles,24
10109,Female,Los Angeles,3
10110,Male,Chicago,25
10111,Female,New York,19
10112,Male,Houston,33
10113,Female,New York,2
10114,Female,New York,15
10115,Male,New York,22
10116,Female,Los Angeles,10
10117,Male,Miami,18
10118,Female,Los Angeles,22
10119,Female,Los Angeles,46
10120,Male,New York,49
10121,Female,Los Angeles,27
10122,Male,New York,13
10123,Female,Miami,33
10124,Male,Houston,5
10125,Male,New York,26
10126,Female,Miami,13
10127,Female,Houston,27
10128,Male,Chicago,57
10129,Female,New York,14
10130,Female,New York,24
10131,Female,Chicago,3
