CustomerID,Transaction_ID,Transaction_Date,Product_SKU,Product_Description,Product_Category,Quantity,Avg_Price,Delivery_Charges,Coupon_Status
10001,200001,08-06-2023,SKU9443,Electronics Product 1,Electronics,5,697.35,24.33,Not Used
10002,200002,05-05-2023,SKU9173,Sports Product 2,Sports,1,194.19,10.73,Used
10003,200003,20-04-2023,SKU1301,Home Decor Product 3,Home Decor,3,40.72,10.37,Not Used
10004,200004,06-02-2023,SKU2566,Beauty Product 4,Beauty,2,866.01,12.42,Used
10005,200005,04-10-2023,SKU8816,Beauty Product 5,Beauty,4,402.37,45.08,Not Used
10006,200006,14-01-2023,SKU3210,Sports Product 6,Sports,5,271.23,49.59,Used
10007,200007,13-12-2023,SKU8230,Electronics Product 7,Electronics,5,566.06,21.06,Used
10008,200008,20-08-2023,SKU9803,Beauty Product 8,Beauty,3,426.69,18.15,Not Used
10009,200009,12-11-2023,SKU7588,Sports Product 9,Sports,3,655.15,14.84,Used
10010,200010,04-05-2023,SKU2943,Apparel Product 10,Apparel,1,488.96,42.07,Used
10011,200011,06-10-2023,SKU9265,Beauty Product 11,Beauty,1,700.26,14.41,Not Used
10012,200012,21-04-2023,SKU5637,Apparel Product 12,Apparel,1,854.89,46.58,Used
10013,200013,04-05-2023,SKU9348,Electronics Product 13,Electronics,4,203.6,35.03,Used
10014,200014,30-01-2023,SKU6385,Beauty Product 14,Beauty,1,336.14,45.37,Not Used
10015,200015,25-04-2023,SKU1255,Sports Product 15,Sports,5,442.45,29.93,Used
10016,200016,31-03-2023,SKU4110,Home Decor Product 16,Home Decor,1,962.44,36.08,Used
10017,200017,31-07-2023,SKU6032,Beauty Product 17,Beauty,4,371.68,32.88,Used
10018,200018,07-02-2023,SKU7261,Beauty Product 18,Beauty,1,387.29,42.4,Used
10019,200019,24-03-2023,SKU3417,Beauty Product 19,Beauty,1,656.94,42.61,Not Used
10020,200020,27-01-2023,SKU3256,Beauty Product 20,Beauty,5,425.01,31.54,Not Used
10021,200021,05-08-2023,SKU3634,Sports Product 21,Sports,5,951.71,33.46,Not Used
10022,200022,26-12-2023,SKU2891,Sports Product 22,Sports,5,895.52,46.48,Not Used
10023,200023,03-08-2023,SKU4464,Home Decor Product 23,Home Decor,1,518.27,46.84,Not Used
10024,200024,09-08-2023,SKU8426,Sports Product 24,Sports,5,648.33,34.89,Not Used
10025,200025,15-01-2023,SKU2970,Sports Product 25,Sports,3,67.45,5.35,Used
10026,200026,16-09-2023,SKU4953,Electronics Product 26,Electronics,2,698.77,9.7,Used
10027,200027,23-09-2023,SKU6818,Electronics Product 27,Electronics,2,710.13,43.61,Used
10028,200028,30-04-2023,SKU7771,Apparel Product 28,Apparel,5,365.61,8.81,Not Used
10029,200029,08-05-2023,SKU7748,Home Decor Product 29,Home Decor,4,227.49,14.61,Not Used
10030,200030,30-07-2023,SKU6003,Electronics Product 30,Electronics,5,915.93,15.37,Used
10031,200031,11-01-2023,SKU1648,Home Decor Product 31,Home Decor,5,432.44,32.01,Used
10032,200032,25-06-2023,SKU9720,Home Decor Product 32,Home Decor,1,657.17,30.95,Not Used
10033,200033,13-05-2023,SKU3101,Beauty Product 33,Beauty,4,43,18.02,Used
10034,200034,21-11-2023,SKU1418,Home Decor Product 34,Home Decor,5,419.93,14.34,Not Used
10035,200035,16-11-2023,SKU3352,Beauty Product 35,Beauty,3,819.09,39.4,Used
10036,200036,14-01-2023,SKU6775,Apparel Product 36,Apparel,2,393.7,47.1,Not Used
10037,200037,19-02-2023,SKU9276,Apparel Product 37,Apparel,3,607.13,7.38,Used
10038,200038,13-03-2023,SKU8691,Apparel Product 38,Apparel,3,217.76,10.99,Not Used
10039,200039,10-03-2023,SKU2751,Beauty Product 39,Beauty,3,422.36,33.9,Used
10040,200040,16-01-2023,SKU3657,Beauty Product 40,Beauty,4,928.36,41.2,Not Used
10041,200041,30-11-2023,SKU7123,Apparel Product 41,Apparel,4,570.79,40.6,Used
10042,200042,23-12-2023,SKU6524,Beauty Product 42,Beauty,4,902.91,37.39,Used
10043,200043,25-02-2023,SKU3351,Sports Product 43,Sports,2,903,44.93,Used
10044,200044,15-04-2023,SKU9071,Sports Product 44,Sports,1,944.71,14.78,Not Used
10045,200045,12-05-2023,SKU2289,Beauty Product 45,Beauty,5,896.44,9.83,Used
10046,200046,17-02-2023,SKU3702,Beauty Product 46,Beauty,5,13.25,32.69,Used
10047,200047,05-09-2023,SKU9835,Electronics Product 47,Electronics,1,934.67,42,Not Used
10048,200048,30-09-2023,SKU3905,Electronics Product 48,Electronics,5,146.08,31.19,Used
10049,200049,21-04-2023,SKU5669,Home Decor Product 49,Home Decor,3,49.53,48.33,Used
10050,200050,22-11-2023,SKU3922,Home Decor Product 50,Home Decor,2,64.83,40.8,Used
10051,200051,02-12-2023,SKU7654,Home Decor Product 51,Home Decor,5,355.43,36.54,Used
10052,200052,15-12-2023,SKU3021,Apparel Product 52,Apparel,2,624.6,7.71,Used
10053,200053,07-02-2023,SKU4624,Sports Product 53,Sports,1,408.29,9.85,Used
10054,200054,23-12-2023,SKU7344,Apparel Product 54,Apparel,5,35.3,40.32,Used
10055,200055,28-08-2023,SKU8778,Beauty Product 55,Beauty,2,481.72,13.92,Not Used
10056,200056,14-11-2023,SKU1136,Electronics Product 56,Electronics,3,447.71,6.3,Used
10057,200057,01-05-2023,SKU5225,Beauty Product 57,Beauty,3,759.28,45.98,Not Used
10058,200058,17-02-2023,SKU4140,Beauty Product 58,Beauty,1,286.82,45.09,Used
10059,200059,10-01-2023,SKU3587,Electronics Product 59,Electronics,4,225.36,14.83,Not Used
10060,200060,21-08-2023,SKU7669,Beauty Product 60,Beauty,5,263.38,40.11,Not Used
10061,200061,05-02-2023,SKU3605,Home Decor Product 61,Home Decor,3,310.7,7.16,Used
10062,200062,04-01-2023,SKU6004,Electronics Product 62,Electronics,3,603.17,17.83,Not Used
10063,200063,13-02-2023,SKU9400,Beauty Product 63,Beauty,1,476.81,33.07,Used
10064,200064,25-02-2023,SKU8504,Home Decor Product 64,Home Decor,3,343.53,39.34,Not Used
10065,200065,11-02-2023,SKU4810,Home Decor Product 65,Home Decor,5,380.57,5.47,Not Used
10066,200066,12-09-2023,SKU7080,Sports Product 66,Sports,1,377.21,19.68,Not Used
10067,200067,16-08-2023,SKU8408,Home Decor Product 67,Home Decor,2,972.68,14.65,Not Used
10068,200068,24-04-2023,SKU5153,Apparel Product 68,Apparel,1,240.67,49.95,Used
10069,200069,25-08-2023,SKU4376,Electronics Product 69,Electronics,5,819.88,35.19,Used
10070,200070,23-06-2023,SKU2368,Electronics Product 70,Electronics,5,711.13,23.26,Not Used
10071,200071,12-09-2023,SKU8809,Electronics Product 71,Electronics,2,15.51,8.4,Not Used
10072,200072,04-10-2023,SKU4800,Beauty Product 72,Beauty,1,993.24,31.94,Used
10073,200073,01-12-2023,SKU2037,Beauty Product 73,Beauty,5,758.87,33.88,Not Used
10074,200074,10-03-2023,SKU1992,Apparel Product 74,Apparel,5,685.63,41.74,Not Used
10075,200075,22-11-2023,SKU8312,Home Decor Product 75,Home Decor,2,411.27,17.99,Used
10076,200076,18-08-2023,SKU5510,Beauty Product 76,Beauty,4,559.65,49.16,Not Used
10077,200077,08-03-2023,SKU1393,Home Decor Product 77,Home Decor,1,260.74,24.78,Not Used
10078,200078,31-10-2023,SKU9005,Home Decor Product 78,Home Decor,5,45.13,18.32,Not Used
10079,200079,05-02-2023,SKU4686,Beauty Product 79,Beauty,3,837.66,20.68,Used
10080,200080,08-06-2023,SKU1357,Beauty Product 80,Beauty,2,897.52,28.38,Not Used
10081,200081,29-05-2023,SKU5004,Apparel Product 81,Apparel,4,170.85,47.15,Not Used
10082,200082,27-01-2023,SKU2181,Sports Product 82,Sports,4,789.19,38.08,Used
10083,200083,13-03-2023,SKU7817,Electronics Product 83,Electronics,2,743.74,30.97,Used
10084,200084,05-09-2023,SKU3065,Beauty Product 84,Beauty,4,186.59,12.33,Used
10085,200085,11-04-2023,SKU7871,Beauty Product 85,Beauty,5,427.61,11.72,Used
10086,200086,09-07-2023,SKU4129,Home Decor Product 86,Home Decor,4,428.53,27.6,Used
10087,200087,06-04-2023,SKU1154,Sports Product 87,Sports,1,762.36,37.79,Not Used
10088,200088,09-10-2023,SKU9678,Beauty Product 88,Beauty,3,839.28,38.8,Not Used
10089,200089,18-11-2023,SKU7294,Sports Product 89,Sports,5,103.83,15.17,Not Used
10090,200090,05-10-2023,SKU3415,Electronics Product 90,Electronics,2,567.34,9.5,Not Used
10091,200091,17-01-2023,SKU2070,Home Decor Product 91,Home Decor,3,764.13,22.3,Not Used
10092,200092,20-09-2023,SKU3254,Apparel Product 92,Apparel,5,788.33,46.32,Used
10093,200093,17-04-2023,SKU9042,Electronics Product 93,Electronics,3,156.51,29.54,Used
10094,200094,09-03-2023,SKU8807,Sports Product 94,Sports,4,530.25,19.4,Used
10095,200095,08-05-2023,SKU7840,Sports Product 95,Sports,2,858.98,19.56,Used
10096,200096,20-10-2023,SKU7713,Electronics Product 96,Electronics,2,325.33,10.94,Not Used
10097,200097,21-10-2023,SKU3190,Sports Product 97,Sports,1,430.87,26.3,Used
10098,200098,06-04-2023,SKU8264,Apparel Product 98,Apparel,4,806.31,40.61,Not Used
10099,200099,01-01-2023,SKU9382,Apparel Product 99,Apparel,1,98.43,48.59,Not Used
